File Name,k-eff_o,std_o,k-eff__m,std_m,k-eff_bench,std_bench,k_normalized,std_normalized,geometry,therm fiss,int fiss,fast fiss, above therm fiss, Avg E, Avg leth causing fiss
PU-SOL-THERM-034-002,1.00163,0.00013,1.00163,0.000127955,1,0.0044,1.00163,0.004409,Cylinder,89.38,9.32,1.29,10.62,24777.0,0.17131
HEU-SOL-THERM-028-015,1.00431,0.00014,1.00431,0.000139297,1,0.0064,1.00431,0.006429,Cylinder,84.11,14.37,1.52,15.89,26815.0,0.15004
LEU-COMP-THERM-010-019,1.00167,0.00011,1.00167,0.000109217,1,0.0028,1.00167,0.002806,Lattice,83.08,10.77,6.16,16.92,173530.0,0.27337999999999996
HEU-SOL-THERM-038-020,0.99721,0.00014,0.997207,0.000140704,1,0.0032,0.99721,0.003194,Cylinder,74.77,22.75,2.48,25.23,42572.0,0.37107
LEU-COMP-THERM-006-013,0.99943,0.00010,0.999434,0.0001033,1,0.002,0.99943,0.002001,Lattice,88.34,6.27,5.40,11.66,158560.0,0.15288000000000002
LEU-COMP-THERM-007-002,0.99882,0.00011,0.998821,0.000110874,1,0.0008,0.99882,0.000806,Lattice,90.00,6.44,3.55,10.0,101300.0,0.11147
PU-SOL-THERM-022-009,1.00353,0.00010,1.00353,9.92511e-05,1,0.0024,1.00353,0.002410,Cylinder,97.02,2.65,0.33,2.98,6413.0,0.054187
PU-SOL-THERM-034-003,0.99939,0.00012,0.999387,0.000119652,1,0.004,0.99939,0.003999,Cylinder,88.50,10.13,1.37,11.5,26277.0,0.19885
HEU-SOL-THERM-028-014,0.99622,0.00013,0.996219,0.000133653,1,0.0046,0.99622,0.004584,Cylinder,84.01,14.45,1.53,15.99,26899.0,0.15123
HEU-MET-FAST-084-019,0.99740,0.00009,0.9974,8.77897e-05,0.9996,0.0019,0.99779,0.001898,Cylinder,0.00,5.48,94.52,100.0,1430800.0,801590.0
HEU-SOL-THERM-019-001,0.99749,0.00014,0.997489,0.000141205,1,0.0041,0.99749,0.004092,Cylinder,77.08,20.52,2.39,22.92,41960.0,0.30586
